food,carbs_g,protein_g,fat_g,fiber_g,calories,calories.1,GI,GI_band,GI_source,GI_confidence,GL_per_serving,Veg/Non-veg
Pear chocholate sunday,15.02,2.08,13.11,0.07,183.49,183.49,45.0,Low,Estimated(Category),Medium,6.76,Veg
Chocolate sauce,43.21,1.91,10.39,0.0,263.2,263.2,48.5,Low,Estimated(Nutrient),Low,20.96,Veg
Coffee ice cream,14.09,3.15,9.43,0.0,150.62,150.62,63.0,Medium,Estimated(Category),Medium,8.88,Veg
Coffee pear alaska,19.36,2.88,13.22,0.15,203.99,203.99,45.0,Low,Estimated(Category),Medium,8.71,Veg
Crunchy butterscotch,19.92,3.11,20.99,0.47,277.32,277.32,26.0,Low,Estimated(Nutrient),Low,5.18,Veg
Peach melba ice cream,16.31,2.06,14.51,0.06,200.85,200.85,45.0,Low,Estimated(Category),Medium,7.34,Veg
Vanilla ice cream with apples in hot cherry sauce,22.75,1.73,11.45,0.26,196.32,196.32,45.0,Low,Estimated(Category),Medium,10.24,Veg
Grape and orange whip,6.72,1.41,2.62,0.97,57.39,57.39,45.0,Low,Estimated(Category),Medium,3.02,Veg
Honey banana cream,13.64,2.78,6.68,0.7,125.49,125.49,63.0,Medium,Estimated(Category),Medium,8.59,Veg
Raspberry bavarian cream,17.82,3.34,7.88,2.19,150.1,150.1,41.5,Low,Estimated(Nutrient),Low,7.4,Veg
Fruit delight,9.11,2.09,7.09,0.09,107.09,107.09,45.0,Low,Estimated(Category),Medium,4.1,Veg
Creamy chocolate mousse,9.53,6.85,18.16,0.0,230.52,230.52,25.0,Low,Estimated(Nutrient),Low,2.38,Veg
Cold lemon souffle,15.62,5.89,9.78,0.0,169.87,169.87,45.0,Low,Estimated(Category),Medium,7.03,Veg
Cold orange souffle,16.27,5.94,9.82,0.11,173.19,173.19,45.0,Low,Estimated(Category),Medium,7.32,Veg
Cold pineapple souffle,16.85,6.23,10.39,0.0,181.22,181.22,45.0,Low,Estimated(Category),Medium,7.58,Veg
Cold vanilla souffle,16.29,6.22,10.32,0.0,179.54,179.54,28.7,Low,Estimated(Nutrient),Low,4.68,Veg
Cold chocolate souffle,17.22,6.37,10.86,0.0,187.53,187.53,29.0,Low,Estimated(Nutrient),Low,4.99,Veg
Stewed fruit (with pear),18.22,0.25,0.32,2.84,74.32,74.32,45.0,Low,Estimated(Category),Medium,8.2,Veg
Apricot fool,33.64,1.54,11.35,1.0,240.79,240.79,44.5,Low,Estimated(Nutrient),Low,14.97,Veg
Pavlova,21.84,1.84,12.29,0.06,200.6,200.6,36.4,Low,Estimated(Nutrient),Low,7.95,Veg
Apple crumb pudding,35.17,1.54,8.87,1.33,220.85,220.85,45.0,Low,Estimated(Category),Medium,15.83,Veg
Steamed cake with chocolate sauce,29.06,4.49,19.01,0.29,301.91,301.91,33.0,Low,Estimated(Nutrient),Low,9.59,Veg
Hot lemon souffle,16.31,5.29,7.93,0.14,155.25,155.25,45.0,Low,Estimated(Category),Medium,7.34,Veg
Gulab jamun with milk powder,28.24,0.85,40.15,0.05,471.15,471.15,45.0,Low,Estimated(Category),Medium,12.71,Veg
Chum chum,28.27,1.52,1.92,0.02,130.05,130.05,60.5,Medium,Estimated(Nutrient),Low,17.1,Veg
Dil bahar,28.27,1.52,1.92,0.02,130.05,130.05,60.5,Medium,Estimated(Nutrient),Low,17.1,Veg
Rasbhari,28.27,1.52,1.92,0.02,130.05,130.05,60.5,Medium,Estimated(Nutrient),Low,17.1,Veg
Rajbogh,28.16,1.71,2.28,0.11,133.7,133.7,59.5,Medium,Estimated(Nutrient),Low,16.76,Veg
Rasgulla,25.79,1.38,1.75,0.01,118.64,118.64,86.0,High,Measured,High,22.18,Veg
Rasgulla,25.79,1.38,1.75,0.01,118.64,118.64,65.0,Medium,Measured,High,16.76,Veg
Rasmalai,29.17,1.61,2.11,0.07,135.55,135.55,60.3,Medium,Estimated(Nutrient),Low,17.59,Veg
Khoa coconut burfi,36.55,9.98,26.01,4.07,411.45,411.45,29.8,Low,Estimated(Nutrient),Low,10.89,Veg
Danedar burfi,12.33,3.24,4.72,0.09,102.68,102.68,40.5,Low,Estimated(Nutrient),Low,4.99,Veg
Semolina burfi (Suji/Rava burfi),47.1,3.47,16.86,2.8,348.67,348.67,43.2,Low,Estimated(Nutrient),Low,20.35,Veg
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),17.02,1.75,12.66,4.29,186.18,186.18,31.7,Low,Estimated(Nutrient),Low,5.4,Veg
Khoa ladoo,34.43,12.21,24.09,3.08,396.02,396.02,28.6,Low,Estimated(Nutrient),Low,9.85,Veg
Wheat and gram flour ladoo (Atta besan ladoo),50.5,9.38,29.86,6.01,501.7,501.7,55.0,Low,Estimated(Category),Medium,27.78,Veg
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),48.02,5.44,25.45,4.27,441.84,441.84,37.1,Low,Estimated(Nutrient),Low,17.82,Veg
Sesame chickpeas brittle (Til aur channe ki chikki),50.49,8.5,4.66,5.54,282.74,282.74,45.0,Low,Estimated(Category),Medium,22.72,Veg
Murmura chikki,59.59,2.12,0.32,0.37,253.82,253.82,66.2,Medium,Estimated(Nutrient),Low,39.45,Veg
Masala onion pakora/pakoda (Pyaaz ke pakode),6.48,2.05,57.61,1.44,551.64,551.64,80.0,High,Estimated(Category),Medium,5.18,Veg
Masala green chilli pakora/pakoda (Hari mirch kay pakode),5.55,2.22,71.01,1.34,668.76,668.76,80.0,High,Estimated(Category),Medium,4.44,Veg
Chicken pakora/pakoda,4.55,6.03,60.98,0.96,590.09,590.09,80.0,High,Estimated(Category),Medium,3.64,Non-Veg
Fish pakora/pakoda,4.55,5.97,59.52,0.96,577.03,577.03,80.0,High,Estimated(Category),Medium,3.64,Non-Veg
Paneer cutlet,7.62,4.59,69.38,0.39,672.2,672.2,35.0,Low,Estimated(Category),Medium,2.67,Veg
Sago cutlet/vadas (Sabudana cutlet/vadas),11.23,0.56,56.97,0.54,558.76,558.76,80.0,High,Estimated(Category),Medium,8.98,Veg
Poshtik cutlet,7.39,2.0,50.94,1.35,496.45,496.45,25.0,Low,Estimated(Nutrient),Low,1.85,Veg
Egg cutlet (Anda cutlet),5.77,2.45,60.25,0.58,575.02,575.02,25.0,Low,Estimated(Nutrient),Low,1.44,Non-Veg
Minced meat cutlet,5.61,5.1,54.47,0.4,531.86,531.86,25.0,Low,Estimated(Nutrient),Low,1.4,Non-Veg
Vegetable samosa,13.22,2.21,42.22,1.52,443.11,443.11,80.0,High,Estimated(Category),Medium,10.58,Veg
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),9.7,4.39,76.32,2.27,745.5,745.5,30.0,Low,Estimated(Category),Medium,2.91,Veg
Masala urad dal vada,9.93,4.32,71.62,2.71,703.78,703.78,30.0,Low,Estimated(Category),Medium,2.98,Veg
Khaman (dhokla),5.36,1.92,2.8,1.49,54.73,54.73,33.9,Low,Estimated(Nutrient),Low,1.82,Veg
Instant dhokla,24.11,7.66,9.37,3.57,207.11,207.11,40.0,Low,Estimated(Nutrient),Low,9.64,Veg
Tomato ginger chutney (Tamatar adarak ki chutney),9.11,1.05,0.32,2.14,44.66,44.66,45.0,Low,Estimated(Category),Medium,4.1,Veg
Mint tomato chutney (Pudinay aur tamatar ki chutney),8.22,1.53,0.36,2.63,43.65,43.65,45.0,Low,Estimated(Category),Medium,3.7,Veg
Coriander chutney (Hare dhaniye ki chutney),8.16,1.38,0.37,2.47,42.86,42.86,52.4,Low,Estimated(Nutrient),Low,4.28,Veg
Gooseberry chutney (Amla chutney),8.83,1.44,0.62,4.58,43.02,43.02,52.0,Low,Estimated(Nutrient),Low,4.59,Veg
Walnut chutney (Akhrot ki chutney),8.91,9.44,33.46,3.04,370.43,370.43,25.0,Low,Estimated(Nutrient),Low,2.23,Veg
Saunth/Sonth chutney with ginger,20.62,0.28,0.11,0.31,84.22,84.22,65.6,Medium,Estimated(Nutrient),Low,13.53,Veg
Gun powder chutney,47.65,21.55,2.67,13.95,312.34,312.34,35.8,Low,Estimated(Nutrient),Low,17.06,Veg
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,36.72,12.88,15.88,13.16,346.36,346.36,25.0,Low,Estimated(Nutrient),Low,9.18,Veg
Curd mint dip ,9.11,4.82,2.44,0.77,76.13,76.13,35.0,Low,Estimated(Category),Medium,3.19,Veg
Curd vegetable dip,6.04,3.88,1.94,0.63,56.21,56.21,35.0,Low,Estimated(Category),Medium,2.11,Veg
Mayonnaise vegetable dip,4.8,3.01,23.44,0.41,241.27,241.27,35.0,Low,Estimated(Category),Medium,1.68,Veg
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),20.51,4.03,6.31,2.1,150.68,150.68,45.0,Low,Estimated(Category),Medium,9.23,Veg
Tomato sandwich (grilled),21.29,6.26,9.39,1.91,189.92,189.92,45.0,Low,Estimated(Category),Medium,9.58,Veg
French sandwich (toasted),14.82,6.82,11.51,1.37,186.75,186.75,25.4,Low,Estimated(Nutrient),Low,3.76,Veg
Peanut butter cucumber sandwich,29.76,9.04,10.56,3.35,243.33,243.33,45.0,Low,Estimated(Category),Medium,13.39,Veg
Mint and peanut sandwich,31.83,7.18,13.88,3.67,273.59,273.59,45.0,Low,Estimated(Category),Medium,14.32,Veg
Spicy chutney sandwich,34.03,8.74,9.58,3.73,249.58,249.58,44.7,Low,Estimated(Nutrient),Low,15.21,Veg
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),22.62,12.58,16.77,1.53,285.78,285.78,25.0,Low,Estimated(Nutrient),Low,5.66,Non-Veg
Rolled sandwich,34.69,6.45,15.29,2.07,293.07,293.07,37.3,Low,Estimated(Nutrient),Low,12.94,Veg
Ribbon sandwich,24.76,6.26,13.37,2.92,239.26,239.26,33.2,Low,Estimated(Nutrient),Low,8.22,Veg
Checker board sandwich,25.94,7.37,24.65,2.22,348.37,348.37,25.8,Low,Estimated(Nutrient),Low,6.69,Veg
Submarine sandwich,13.6,6.09,15.32,1.24,216.92,216.92,25.0,Low,Estimated(Nutrient),Low,3.4,Veg
Cheese open sandwich,28.42,9.84,14.24,1.74,274.07,274.07,32.2,Low,Estimated(Nutrient),Low,9.15,Veg
Sunset and sunrise open sandwich,18.89,8.58,15.14,1.39,241.31,241.31,25.3,Low,Estimated(Nutrient),Low,4.78,Veg
Danish luncheon sandwich,17.77,9.03,10.1,1.52,193.82,193.82,27.8,Low,Estimated(Nutrient),Low,4.94,Veg
Chicken and corn open sandwich,19.21,8.63,8.83,1.67,188.16,188.16,35.7,Low,Estimated(Nutrient),Low,6.86,Non-Veg
Chocolate sponge cake,39.54,9.13,5.51,0.52,239.86,239.86,50.2,Low,Estimated(Nutrient),Low,19.85,Veg
Chocolate swiss roll,26.97,6.01,19.76,0.29,306.08,306.08,30.1,Low,Estimated(Nutrient),Low,8.12,Veg
Lemon curd filling,26.41,3.43,12.58,0.0,225.62,225.62,45.0,Low,Estimated(Category),Medium,11.88,Veg
Jam filling,46.15,0.0,0.0,0.0,184.62,184.62,68.5,Medium,Estimated(Nutrient),Low,31.61,Veg
Chocolate pastry,32.24,7.05,10.12,0.32,243.37,243.37,39.8,Low,Estimated(Nutrient),Low,12.83,Veg
Assorted pastry,31.99,6.78,8.91,0.43,230.74,230.74,46.0,Low,Estimated(Nutrient),Low,14.72,Veg
Orange gateau,27.01,4.78,6.02,0.68,178.05,178.05,45.0,Low,Estimated(Category),Medium,12.15,Veg
Black forest gateau,30.57,5.94,8.58,0.28,217.82,217.82,46.4,Low,Estimated(Nutrient),Low,14.18,Veg
Lemon cake,43.1,5.29,20.63,0.62,373.85,373.85,45.0,Low,Estimated(Category),Medium,19.4,Veg
Dundee cake,41.4,7.78,22.7,1.81,396.62,396.62,34.8,Low,Estimated(Nutrient),Low,14.41,Veg
Victorian sandwich cake,44.74,5.18,19.83,0.59,373.09,373.09,39.3,Low,Estimated(Nutrient),Low,17.58,Veg
Chocolate eggless cake,43.45,6.66,13.19,0.32,312.01,312.01,42.3,Low,Estimated(Nutrient),Low,18.38,Veg
Orange eggless cake,52.65,7.16,13.82,0.56,355.62,355.62,45.0,Low,Estimated(Category),Medium,23.69,Veg
Chocolate glace icing,62.43,3.22,20.8,0.0,436.29,436.29,45.0,Low,Estimated(Nutrient),Low,28.09,Veg
Butter icing,71.64,0.19,25.37,0.0,500.72,500.72,46.1,Low,Estimated(Nutrient),Low,33.03,Veg
Chocolate butter icing,61.72,3.21,24.77,0.0,469.59,469.59,42.6,Low,Estimated(Nutrient),Low,26.29,Veg
Almond biscuit (Badam ke biscuit),52.14,6.25,19.7,1.5,407.74,407.74,41.1,Low,Estimated(Nutrient),Low,21.43,Veg
Orange biscuit,62.11,3.63,11.01,0.75,354.78,354.78,45.0,Low,Estimated(Category),Medium,27.95,Veg
Gingerman biscuit,55.24,6.26,12.73,2.0,357.43,357.43,46.4,Low,Estimated(Nutrient),Low,25.63,Veg
Coffee drops,43.06,7.57,27.16,1.88,443.07,443.07,33.3,Low,Estimated(Nutrient),Low,14.34,Veg
Christmas biscuit,60.97,5.67,15.88,2.17,406.07,406.07,46.1,Low,Estimated(Nutrient),Low,28.11,Veg
Christmas wreath biscuit,58.07,5.43,15.01,2.28,386.05,386.05,46.1,Low,Estimated(Nutrient),Low,26.77,Veg
Christmas bell biscuit,60.79,5.66,15.84,2.33,404.85,404.85,46.1,Low,Estimated(Nutrient),Low,28.02,Veg
Christmas star biscuit,74.54,3.54,10.04,1.47,392.03,392.03,53.5,Low,Estimated(Nutrient),Low,39.88,Veg
Christmas tree biscuit,58.41,5.43,15.0,2.65,385.63,385.63,46.2,Low,Estimated(Nutrient),Low,26.99,Veg
Chocolate cream shells,59.26,5.1,19.34,0.9,427.17,427.17,44.0,Low,Estimated(Nutrient),Low,26.07,Veg
Jelly biscuit,55.24,4.23,19.33,2.02,404.61,404.61,43.5,Low,Estimated(Nutrient),Low,24.03,Veg
Cherry and walnut cookies,59.35,5.63,18.75,1.3,422.6,422.6,44.0,Low,Estimated(Nutrient),Low,26.11,Veg
Cheese straws,30.61,9.83,24.28,1.29,382.0,382.0,27.6,Low,Estimated(Nutrient),Low,8.45,Veg
Butterfly biscuit,25.33,9.98,22.11,1.02,341.45,341.45,25.4,Low,Estimated(Nutrient),Low,6.43,Veg
Flan pastry,47.84,6.72,25.04,1.58,445.8,445.8,36.5,Low,Estimated(Nutrient),Low,17.46,Veg
Fruit flan,34.71,3.3,12.48,0.71,261.35,261.35,45.0,Low,Estimated(Category),Medium,15.62,Veg
Orange cream flan,36.16,4.73,13.59,0.63,280.28,280.28,45.0,Low,Estimated(Category),Medium,16.27,Veg
Fruit puree tart,30.42,3.35,16.83,1.31,286.5,286.5,45.0,Low,Estimated(Category),Medium,13.69,Veg
Apple banana pie,32.12,3.13,11.39,1.89,243.99,243.99,45.0,Low,Estimated(Category),Medium,14.45,Veg
Lemon chiffon pie,27.63,4.88,14.52,0.66,259.31,259.31,45.0,Low,Estimated(Category),Medium,12.43,Veg
Orange chiffon pie,23.14,3.89,11.16,0.7,207.57,207.57,45.0,Low,Estimated(Category),Medium,10.41,Veg
Cream buns,14.16,4.45,15.81,0.31,215.74,215.74,25.0,Low,Estimated(Nutrient),Low,3.54,Veg
Savoury puffs,10.8,9.51,15.24,0.33,190.79,190.79,25.0,Low,Estimated(Nutrient),Low,2.7,Veg
Choux swans,14.92,4.35,15.6,0.35,216.34,216.34,25.0,Low,Estimated(Nutrient),Low,3.73,Veg
Potato aigrettes,8.01,2.35,54.24,0.45,530.03,530.03,80.0,High,Estimated(Category),Medium,6.41,Veg
Cream horns,23.12,3.42,33.55,0.6,408.23,408.23,25.0,Low,Estimated(Nutrient),Low,5.78,Veg
Savoury cheese horns,21.38,5.66,20.71,0.73,295.15,295.15,25.7,Low,Estimated(Nutrient),Low,5.49,Veg
Paneer patties,22.79,7.6,23.96,1.18,338.58,338.58,35.0,Low,Estimated(Category),Medium,7.98,Veg
Vegetable patties ,20.98,4.01,17.74,2.62,261.92,261.92,35.0,Low,Estimated(Category),Medium,7.34,Veg
Pearl millet infant food (Bajra shishu aahaar),62.1,11.98,6.62,7.84,362.44,362.44,45.0,Low,Estimated(Category),Medium,27.94,Veg
Sajina,66.87,10.81,3.03,7.62,345.26,345.26,47.3,Low,Estimated(Nutrient),Low,31.63,Veg
Cereal mix ,21.84,3.32,2.02,2.03,120.81,120.81,80.0,High,Estimated(Category),Medium,17.47,Veg
Pulse mix,16.0,3.16,0.54,2.25,83.29,83.29,54.1,Low,Estimated(Nutrient),Low,8.66,Veg
Shishu ahar,17.42,2.61,1.43,1.02,93.37,93.37,54.3,Low,Estimated(Nutrient),Low,9.46,Veg
Cereal pulse mix with amylase rice flour,27.8,4.27,2.74,3.47,151.57,151.57,80.0,High,Estimated(Category),Medium,22.24,Veg
Banana groundnut paste/puree,36.15,4.27,5.45,1.7,213.19,213.19,63.0,Medium,Estimated(Category),Medium,22.77,Veg
Rice dal porridge (Chawal dal ki khichdi/khichri),65.04,10.8,8.33,4.51,383.33,383.33,75.0,High,Estimated(Category),Medium,48.78,Veg
Lentils and semolina porridge (Dal suji porridge/daliya),23.19,3.26,1.06,1.44,117.29,117.29,45.0,Low,Estimated(Category),Medium,10.44,Veg
Spinach khichri (Palak khichri/khichdi),17.35,3.43,1.91,1.56,102.18,102.18,51.3,Low,Estimated(Nutrient),Low,8.9,Veg
Vegetable mix,36.02,4.7,0.94,1.93,174.21,174.21,35.0,Low,Estimated(Category),Medium,12.61,Veg
Lentils and wheat porridge (Dal wheat porridge/daliya ),8.36,2.71,0.94,1.28,52.54,52.54,45.0,Low,Estimated(Category),Medium,3.76,Veg
Maize porridge,15.64,2.14,1.89,1.68,89.57,89.57,53.0,Low,Estimated(Nutrient),Low,8.29,Veg
Spinach peanut burfi (Palak aur mungfali ki burfi),13.59,3.36,4.39,2.07,105.37,105.37,45.0,Low,Estimated(Category),Medium,6.12,Veg
Split bengal gram burfi/fudge (Channa dal burfi),54.63,4.65,7.09,2.06,287.36,287.36,30.0,Low,Estimated(Category),Medium,16.39,Veg
Chickpea flour cookies (Sweet besan rounds/cookies),39.64,4.29,3.42,2.56,207.01,207.01,45.0,Low,Estimated(Category),Medium,17.84,Veg
Pearl millet mathri (Bajra mathri),7.42,1.82,83.12,1.36,785.08,785.08,45.0,Low,Estimated(Category),Medium,3.34,Veg
Sesame biscuit (Til ke biscuit),53.65,8.27,19.34,6.83,424.03,424.03,30.7,Low,Estimated(Nutrient),Low,16.47,Veg
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),8.68,4.05,67.19,2.65,657.57,657.57,30.0,Low,Estimated(Category),Medium,2.6,Veg
Poshtik namak paras,19.52,6.49,56.58,4.55,613.39,613.39,25.0,Low,Estimated(Nutrient),Low,4.88,Veg
Soya chikki,62.89,7.18,15.51,3.55,423.7,423.7,45.8,Low,Estimated(Nutrient),Low,28.8,Veg
Besan bathua chilla/cheela,40.65,11.48,18.57,7.79,373.82,373.82,25.0,Low,Estimated(Nutrient),Low,10.16,Veg
Wheat flour and nuts ladoos (Atta nuts ladoos),44.31,9.46,19.19,7.3,391.9,391.9,55.0,Low,Estimated(Category),Medium,24.37,Veg
Gram flour and semolina dhokla (Besan suji dhokla),25.92,8.52,7.1,4.59,198.91,198.91,30.0,Low,Estimated(Category),Medium,7.78,Veg
Atta dal burfi ,40.64,6.66,12.47,4.08,298.8,298.8,55.0,Low,Estimated(Category),Medium,22.35,Veg
Soya roti,40.03,9.18,9.23,8.71,283.96,283.96,55.0,Low,Estimated(Category),Medium,22.02,Veg
Poshtik khichdi/khichri,15.64,3.04,1.88,2.0,93.37,93.37,50.8,Low,Estimated(Nutrient),Low,7.95,Veg
Namkeen daliya,49.32,8.29,7.99,8.57,295.11,295.11,30.0,Low,Estimated(Category),Medium,14.8,Veg
Sprouts upma ,44.96,9.5,10.44,7.16,316.25,316.25,75.0,High,Estimated(Category),Medium,33.72,Veg
Semolina idli (Suji/Rava idli),33.67,9.34,3.47,5.85,206.39,206.39,75.0,High,Estimated(Category),Medium,25.25,Veg
Poshtik chilla/cheela,27.47,4.85,3.04,4.91,159.53,159.53,52.9,Low,Estimated(Nutrient),Low,14.53,Veg
Stuffed bittergourd (dry) (Bharwa karela),2.49,1.29,22.38,3.0,217.65,217.65,25.0,Low,Estimated(Nutrient),Low,0.62,Veg
Cauliflower potato canjee,2.63,0.57,0.39,0.69,16.79,16.79,80.0,High,Estimated(Category),Medium,2.1,Veg
Creamed spinach,4.44,5.18,6.39,1.33,96.91,96.91,25.0,Low,Estimated(Nutrient),Low,1.11,Veg
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),9.18,1.93,2.8,0.23,68.35,68.35,45.0,Low,Estimated(Category),Medium,4.13,Veg
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),9.33,1.93,2.75,0.42,68.49,68.49,45.0,Low,Estimated(Category),Medium,4.2,Veg
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),9.15,1.95,2.75,0.16,67.82,67.82,45.0,Low,Estimated(Category),Medium,4.12,Veg
Woodapple juice (Bel ka sharbat),6.51,0.63,0.7,1.03,34.18,34.18,45.0,Low,Estimated(Category),Medium,2.93,Veg
Sattu drink,5.16,0.56,0.14,0.4,23.38,23.38,52.7,Low,Estimated(Nutrient),Low,2.72,Veg
Apple and honey sorbet (Seb aur shehad ka sharbat),30.74,0.15,0.29,1.13,121.3,121.3,45.0,Low,Estimated(Category),Medium,13.83,Veg
Thandai,9.13,3.59,5.89,0.8,101.18,101.18,32.6,Low,Estimated(Nutrient),Low,2.98,Veg
Cucumber sharbat (Kheere ka sharbat),6.64,0.26,0.06,0.78,27.28,27.28,58.4,Medium,Estimated(Nutrient),Low,3.88,Veg
Apple oats chia seed smoothie,13.07,3.49,2.48,1.44,85.64,85.64,45.0,Low,Estimated(Category),Medium,5.88,Veg
Nannari sharbat,23.62,0.01,0.01,0.0,88.79,88.79,67.1,Medium,Estimated(Nutrient),Low,15.85,Veg
Semolina milk drink (Thari kanji),6.93,0.98,1.36,0.72,44.16,44.16,45.0,Low,Estimated(Category),Medium,3.12,Veg
Saffron milk (Kesariya doodh),12.64,3.17,4.57,0.14,102.18,102.18,45.0,Low,Estimated(Category),Medium,5.69,Veg
Black rice kheer (Chak-hao kheer),22.93,4.37,4.91,0.76,147.94,147.94,75.0,High,Estimated(Category),Medium,17.2,Veg
Coconut kheer (Nariyal ki kheer),14.42,3.4,10.55,1.53,162.61,162.61,29.4,Low,Estimated(Nutrient),Low,4.24,Veg
Apple sago payasam (Seb aur sabudana ki kheer),14.4,3.13,7.66,0.38,136.5,136.5,45.0,Low,Estimated(Category),Medium,6.48,Veg
Kesari bath,31.38,2.4,12.59,1.65,244.57,244.57,41.4,Low,Estimated(Nutrient),Low,12.99,Veg
Putharekulu,59.61,3.66,7.55,1.75,318.3,318.3,58.1,Medium,Estimated(Nutrient),Low,34.63,Veg
Mango malpua,12.84,1.65,30.67,2.08,334.64,334.64,45.0,Low,Estimated(Category),Medium,5.78,Veg
Mango vanilla custard,18.41,3.43,7.04,0.99,147.63,147.63,45.0,Low,Estimated(Category),Medium,8.28,Veg
Kiwi granola pudding,32.33,5.6,15.36,3.71,280.99,280.99,36.7,Low,Estimated(Nutrient),Low,11.87,Veg
Oats burfi,62.47,8.89,17.27,4.96,425.19,425.19,43.8,Low,Estimated(Nutrient),Low,27.36,Veg
Lotus seed halwa (Kamal gattay ka halwa),39.56,7.79,20.69,0.42,370.55,370.55,55.0,Low,Estimated(Category),Medium,21.76,Veg
Amaranth ladoo (Rajgira ladoo),51.33,10.12,22.7,5.11,454.15,454.15,27.2,Low,Estimated(Nutrient),Low,13.96,Veg
Chhena poda,33.64,13.68,17.94,1.4,344.57,344.57,30.5,Low,Estimated(Nutrient),Low,10.26,Veg
Sweet couscous dessert,29.69,3.81,7.69,2.18,196.2,196.2,63.0,Medium,Estimated(Category),Medium,18.7,Veg
Sweetened yogurt (Shrikhand),16.02,5.27,2.89,0.08,107.18,107.18,45.0,Low,Estimated(Category),Medium,7.21,Veg
Thickened sweetened milk (Rabri),10.55,3.52,5.35,0.19,102.79,102.79,45.0,Low,Estimated(Category),Medium,4.75,Veg
Gram flour halwa (Besan halwa),25.78,5.88,17.3,1.82,276.79,276.79,30.0,Low,Estimated(Category),Medium,7.73,Veg
Prawn sandwich,11.89,10.36,9.27,1.55,169.65,169.65,25.6,Low,Estimated(Nutrient),Low,3.04,Non-Veg
Watercress sandwich,28.03,5.17,11.47,2.26,229.42,229.42,38.0,Low,Estimated(Nutrient),Low,10.65,Veg
Fish sandwich ,10.09,4.72,10.37,1.23,150.2,150.2,25.0,Low,Estimated(Nutrient),Low,2.52,Non-Veg
Kidney bean sandwich with cottage cheese,18.86,9.85,6.84,3.66,176.64,176.64,30.0,Low,Estimated(Category),Medium,5.66,Veg
Finger millet biscuit (Ragi biscuit),52.69,4.03,25.79,5.97,458.56,458.56,29.2,Low,Estimated(Nutrient),Low,15.39,Veg
Buttermilk biscuit,34.93,5.76,17.5,1.18,322.54,322.54,45.0,Low,Estimated(Category),Medium,15.72,Veg
Lemon cookies,42.19,5.63,23.02,0.78,394.48,394.48,45.0,Low,Estimated(Category),Medium,18.99,Veg
Sweet potato biscuit (Shakarkand ke biscuit),38.13,5.14,13.31,2.27,296.4,296.4,63.0,Medium,Estimated(Category),Medium,24.02,Veg
Raspberry shortbread cookies,61.25,3.0,21.25,0.75,441.12,441.12,44.6,Low,Estimated(Nutrient),Low,27.32,Veg
Pumpkin cookies ,44.69,2.51,3.93,1.06,218.4,218.4,60.0,Medium,Estimated(Nutrient),Low,26.81,Veg
Greenpea cookies,23.07,6.53,4.24,5.32,159.42,159.42,36.4,Low,Estimated(Nutrient),Low,8.4,Veg
Sunflower cookies,40.06,9.49,36.28,3.95,520.62,520.62,27.3,Low,Estimated(Nutrient),Low,10.94,Veg
Cardamom cookies (Elaichi cookies),53.99,5.1,19.12,2.79,400.49,400.49,42.7,Low,Estimated(Nutrient),Low,23.05,Veg
Hazelnut cookies,39.44,6.25,34.97,2.45,493.32,493.32,28.8,Low,Estimated(Nutrient),Low,11.36,Veg
Milk cookies,48.43,10.49,24.96,0.99,459.43,459.43,45.0,Low,Estimated(Category),Medium,21.79,Veg
Cranberry cookies,36.39,3.92,12.66,1.13,272.48,272.48,42.2,Low,Estimated(Nutrient),Low,15.36,Veg
Olive biscuit,55.01,3.2,23.75,0.82,438.29,438.29,41.4,Low,Estimated(Nutrient),Low,22.77,Veg
Tutti fruitti biscuit,53.12,5.21,17.9,5.43,420.78,420.78,45.0,Low,Estimated(Category),Medium,23.9,Veg
Peach blueberry preserves,45.76,0.53,0.2,1.14,177.38,177.38,45.0,Low,Estimated(Category),Medium,20.59,Veg
Pear preserves (Naashpati ka murabba),25.67,0.25,0.19,3.06,101.24,101.24,45.0,Low,Estimated(Category),Medium,11.55,Veg
Starfruit preserves ,33.62,0.24,0.12,0.78,128.93,128.93,45.0,Low,Estimated(Category),Medium,15.13,Veg
Gooseberry pickle (Amla ka achaar),7.61,1.55,27.61,3.7,278.58,278.58,25.0,Low,Estimated(Nutrient),Low,1.9,Veg
Lotus stem pickle (Kamal kakdi ka achar),20.07,1.44,1.6,8.58,102.69,102.69,48.3,Low,Estimated(Nutrient),Low,9.69,Veg
Date pickle (Khajoor ka achaar),34.66,1.68,4.21,5.2,182.29,182.29,48.4,Low,Estimated(Nutrient),Low,16.78,Veg
Garlic pickle (Lahasun ka achar),9.75,3.72,39.88,5.13,413.62,413.62,25.0,Low,Estimated(Nutrient),Low,2.44,Veg
